,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,mstype
39,38,42,38,23,32,61,44,52,49,46,40,40,56,25,43,45,28,44,36,48,44,47,65,39,50,54,64,60,51,20,57,72,53,67,56,45,28,34,72,60,67,56,45,28,32,35,43,41,18,34,59,46,49,47,44,40,41,57,26,41,40,34,40,35,50,42,46,66,36,52,57,65,56,50,19,59,0
40,36,44,38,24,37,61,43,54,48,46,40,43,54,25,38,46,30,43,36,48,42,48,65,38,50,57,63,59,52,20,59,70,54,68,54,49,32,34,72,59,68,56,49,28,36,35,44,43,18,33,59,45,49,45,41,40,36,53,26,41,39,36,43,35,49,43,46,66,31,52,58,65,57,50,19,57,0
41,36,43,38,20,38,61,42,53,49,45,38,44,56,23,42,46,30,44,35,51,44,50,65,39,50,55,64,59,51,20,58,69,56,67,55,43,28,33,66,60,66,56,47,26,30,36,43,44,18,31,60,46,49,47,43,38,42,56,27,41,41,36,42,35,49,42,47,66,36,53,57,65,61,50,19,59,0
42,40,43,36,20,35,60,41,52,46,46,37,41,56,25,42,42,27,41,36,48,45,47,64,40,50,55,62,58,50,20,60,71,50,69,57,45,30,34,72,55,66,56,51,29,30,37,43,41,16,31,59,45,51,46,42,40,40,57,27,41,40,36,43,35,49,44,46,63,36,53,58,64,59,50,15,59,0
43,39,44,38,23,41,59,41,53,49,46,40,45,54,22,43,46,30,44,36,52,45,49,65,40,51,56,62,58,51,20,59,70,56,68,56,48,31,35,71,55,68,59,50,29,30,35,43,44,18,33,60,46,50,47,44,40,42,57,25,41,41,34,42,32,50,44,47,66,35,52,57,64,60,49,18,59,0
44,40,44,37,21,39,61,44,51,47,43,41,36,54,25,42,46,31,44,36,49,44,46,63,39,49,57,64,60,53,19,58,72,52,67,56,43,24,30,70,59,65,52,47,29,32,31,43,40,12,34,57,46,51,45,42,40,35,54,26,41,40,36,43,33,42,40,46,66,31,53,58,61,57,43,18,59,0
45,36,43,36,23,38,61,41,52,49,46,38,43,57,20,43,42,29,43,34,51,43,50,63,41,51,57,63,61,50,20,57,70,56,67,49,48,31,35,70,57,68,53,52,29,36,37,42,43,12,30,58,46,52,47,42,40,42,57,18,42,39,33,43,29,45,41,46,64,35,54,57,62,61,46,19,58,0
46,28,41,23,11,28,53,30,29,39,40,30,38,40,14,37,37,28,39,19,43,31,42,63,31,48,52,56,49,40,13,25,66,48,60,45,34,21,25,63,51,58,48,35,20,26,34,40,35,5,23,44,35,30,30,40,29,27,43,20,30,30,26,36,19,42,36,46,54,24,51,54,58,43,39,8,30,0
47,39,44,35,22,38,61,43,51,46,44,41,41,52,25,38,45,31,43,34,49,42,49,64,33,50,57,64,57,52,20,53,71,51,66,52,42,28,31,70,50,63,55,47,28,31,35,43,42,18,32,60,46,48,44,44,40,38,53,23,39,38,32,42,33,44,41,44,66,33,53,57,64,58,50,17,57,0
48,38,44,37,19,38,61,43,55,48,46,38,44,55,25,44,46,30,44,36,49,45,50,65,40,51,56,64,58,50,19,59,69,52,67,56,48,32,33,71,55,66,56,55,29,34,37,43,37,17,32,60,46,51,43,44,39,41,57,28,42,41,35,43,31,48,43,47,65,33,54,57,63,60,48,16,59,0
